marcel_filename,vocalsketch_filename
ACCRDION.WAV,accordian_playing.wav
Airplane.wav,airplane_passing.wav
BABYCRY.WAV,baby_crying.wav
Bagpipes.wav,bagpipes_playing.wav
Banjo.wav,banjo_playing.wav
Baskball.wav,basketball_dribbling.wav
BIKEBELL.WAV,bicycle_bell_ringing.wav
Birds.wav,birds_chirping.wav
BLINDS.WAV,blinds_opening.wav
Boathorn.wav,boat_horn_sounding.wav
BONGOS.WAV,bongos_playing.wav
BOWLING.WAV,bowling_ball_falling_rolling_hitting.wav
CAMERA.WAV,camera_capturing.wav
CANCRUSH.WAV,can_crushing.wav
Canopen.wav,can_opening.wav
CARCRASH.WAV,car_crashing.wav
CARHORN.WAV,car_horn_honking.wav
Shuflcrd.wav,cards_shuffling.wav
Cashreg.wav,cash_register_opening_closing.wav
Cat.wav,cat_meowing.wav
Chickens.wav,chickens_clucking.wav
Chicough.wav,child_coughing.wav
Chrbell.wav,church_bells_ringing.wav
Coindrop.wav,coin_dropping.wav
Corkpop.wav,cork_popping.wav
COW.WAV,cow_mooing.wav
Crickets.wav,crickets_chirping.wav
Crow.wav,crow_cawing.wav
CUCKOOCL.WAV,cuckoo_clock.wav
Cutpaper.wav,cutting_paper.wav
Cymbals.wav,cymbals_ringing.wav
Dogbark.wav,dog_barking.wav
DONKEY.WAV,donkey_hawing.wav
Doorclos.wav,door_closing.wav
Knocking.wav,door_knocked.wav
DOORBELL.WAV,doorbell_ringing.wav
Drill.wav,drill_drilling.wav
Drums.wav,drums_playing.wav
DUCK.WAV,duck_quacking.wav
ELEPHANT.WAV,elephant_trumpeting.wav
Explsn.wav,explosion_sounding.wav
FIRECRAK.WAV,firecrackers_sounding.wav
Flute.wav,flute_playing.wav
Fryfood.wav,food_frying.wav
Frog.wav,frog_croaking.wav
Glassbrk.wav,glass_breaking.wav
Gong.wav,gong_ringing.wav
GUITAR.WAV,guitar_playing.wav
Gunshots.wav,gun_firing.wav
Hammerng.wav,hammer_hitting.wav
HARMONCA.WAV,harmonica_playing.wav
HARP.WAV,harp_playing.wav
HELICPTR.WAV,helicopter_flying.wav
Horsegal.wav,horse_galloping.wav
Dropice.wav,ice_dropping_in_glass.wav
JACKHAMM.WAV,jackhammer_hammering.wav
LAWNMOWR.WAV,lawn_mower_starting.wav
THUNDER.WAV,lightning_crashing.wav
LION.WAV,lion_growling.wav
MACHGUN.WAV,machine_gun_firing.wav
Laughing.wav,man_laughing.wav
Monkey.wav,monkey_calling.wav
MOSQUITO.WAV,mosquito_flying.wav
Motorcyc.wav,motorcycle_driving_away.wav
BLOWNOSE.WAV,nose_blowing.wav
ORGAN.WAV,organ_playing.wav
OWL.WAV,owl_hooting.wav
Turnpage.wav,pages_turning.wav
Crumpapr.wav,paper_crumpling.wav
Tearpapr.wav,paper_tearing.wav
Clapping.wav,people_clapping.wav
BURP.WAV,person_burping.wav
Chewing.wav,person_chewing.wav
Clearthr.wav,person_clearing_throat.wav
GARGLING.WAV,person_gargling.wav
SNORING.WAV,person_snoring.wav
WHISTLNG.WAV,person_whistling.wav
YAWN.WAV,person_yawning.wav
PIANO.WAV,piano_playing.wav
Pig.wav,pig_oinking.wav
PINBALL.WAV,pinball_playing.wav
Pingpong.wav,ping-pong_playing.wav
Polsiren.wav,police_siren_sounding.wav
Pullswch.wav,pullchain_lightswitch_switching.wav
RAIN.WAV,rain_falling.wav
Rattlsna.wav,rattlesnake_rattling.wav
River.wav,river_gurgling.wav
ROOSTER.WAV,rooster_calling.wav
Sandpapr.wav,sandpaper_rubbing.wav
Sawing.wav,saw_sawing.wav
SAX.WAV,saxophone_playing.wav
Seal.wav,seal_barking.wav
SHEEP.WAV,sheep_bleating.wav
SONAR.WAV,sonar_pinging.wav
STAPLER.WAV,stapler_stapling.wav
Swords.wav,swords_clashing.wav
Teakettl.wav,tea_kettle_whistling.wav
TELEPHON.WAV,telephone_ringing.wav
Toilet.wav,toilet_flushing.wav
BRUSHTEE.WAV,toothbrush_brushing.wav
TRAIN.WAV,train_passing.wav
TRUCK.WAV,truck_accelerating.wav
TRUMPET.WAV,trumpet_playing.wav
Typewrtr.wav,typewriter_typing.wav
VELCRO.WAV,velcro_ripping.wav
VIOLIN.WAV,violin_playing.wav
Watrbubb.wav,water_bubbling.wav
Watrdrai.wav,water_draining.wav
Watrdrip.wav,water_dripping.wav
Pourwatr.wav,water_pouring.wav
Ocean.wav,waves_breaking.wav
Whip.wav,whip_cracking.wav
Whistle.wav,whistle_whistling.wav
Wndchime.wav,wind_chimes_ringing.wav
WIND.WAV,wind_whistling.wav
Wolf.wav,wolf_howling.wav
SCREAM.WAV,woman_screaming.wav
SNEEZE.WAV,woman_sneezing.wav
Woodpckr.wav,woodpecker_pecking.wav
ZIPPER.WAV,zipper_opening.wav
