participant_id,age,gender,hearing_problems,speech_problems,years_actively_using_music_tech,frequency_using_music_tech,years_actively_making_music,frequency_making_music,years_actively_singing,frequency_singing
6248007305527296,18,f,False,False,2.0,Once or twice a month,1.0,Once or twice a month,1.0,Once or twice a year
4732466287869952,19,f,False,False,2.0,Once or twice a year,7.0,Once or twice a month,0.0,Never
5207063395303424,19,m,False,False,6.0,Once or twice a week,7.0,More than once or twice a week,11.0,More than once or twice a week
5433951820709888,19,m,False,False,6.0,Once or twice a month,7.0,More than once or twice a week,72.0,Once or twice a week
6217263929622528,19,m,False,False,12.0,More than once or twice a week,4.0,More than once or twice a week,0.0,Never
4680144056745984,20,m,False,False,10.0,Once or twice a week,0.0,Never,0.0,Less than once or twice a year
4783777255522304,20,f,False,False,76.0,Once or twice a month,147.0,More than once or twice a week,147.0,More than once or twice a week
4792479396134912,20,m,False,False,10.0,Never,0.0,Never,0.0,Never
4866397729456128,20,m,False,True,37.0,Less than once or twice a year,0.0,Never,0.0,Never
4893732646158336,20,f,False,False,0.0,Never,9.0,Less than once or twice a year,0.0,Once or twice a week
5486481082679296,20,m,False,False,90.0,More than once or twice a week,35.0,More than once or twice a week,74.0,More than once or twice a week
5665304193531904,20,m,False,False,3.0,Once or twice a month,6.0,Once or twice a week,3.0,More than once or twice a week
6013727576948736,20,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
6316902607486976,20,m,False,False,0.0,Never,0.0,Less than once or twice a year,9.0,More than once or twice a week
6345891153707008,20,m,False,False,14.0,Once or twice a month,12.0,Less than once or twice a year,0.0,Never
6455894862725120,20,m,False,True,67.0,Once or twice a year,6.0,More than once or twice a week,0.0,Never
4866334043144192,21,m,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
5082106220773376,21,m,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
5169916760031232,21,m,False,False,10.0,More than once or twice a week,87.0,More than once or twice a week,87.0,More than once or twice a week
5481482344726528,21,f,False,False,0.0,Never,0.0,Never,3.0,More than once or twice a week
5704147139559424,21,m,False,False,0.0,Never,0.0,Never,0.0,Never
6469122355363840,21,m,False,False,48.0,Once or twice a month,0.0,Never,0.0,Never
6513422124449792,21,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
6525287642693632,21,m,False,False,0.0,Never,73.0,Less than once or twice a year,7.0,More than once or twice a week
4933154607464448,22,m,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
5065252232232960,22,m,False,False,0.0,Never,0.0,Never,0.0,Never
5108755888865280,22,f,False,False,3.0,Once or twice a year,80.0,Once or twice a year,27.0,Once or twice a week
5117473128972288,22,f,False,False,2.0,Less than once or twice a year,84.0,Never,0.0,Never
5149729272889344,22,m,False,False,3.0,Once or twice a week,98.0,Once or twice a month,98.0,More than once or twice a week
5196101900566528,22,m,False,False,84.0,Once or twice a month,16.0,Once or twice a month,0.0,Never
5678444713082880,22,m,False,False,1.0,Less than once or twice a year,0.0,Never,0.0,Never
5829866469457920,22,m,False,False,38.0,Once or twice a year,68.0,Once or twice a week,1.0,Once or twice a month
5910667689197568,22,m,False,False,0.0,Never,0.0,Never,0.0,Never
5964341157298176,22,f,False,False,0.0,Never,0.0,Never,0.0,Never
