id,filename,stimulus_type,included,draft,training,participant_id,satisfaction,sound_label,sound_label_id,sound_recording,sound_recording_id,audio_concept_subset,participants_sound_recording_description,participants_sound_recording_description_confidence,description_match
4.62E+15,stapler - 4621961141420032.wav,sound recording,FALSE,TRUE,TRUE,5.54E+15,,stapler,,stapler_stapling.wav,4.75E+15,everyday,,,
5.95E+15,stapler - 5946232702763008.wav,sound recording,FALSE,TRUE,TRUE,5.54E+15,,stapler,,stapler_stapling.wav,4.75E+15,everyday,,,
4.55E+15,stapler - 4548633164775424.wav,sound recording,FALSE,TRUE,TRUE,5.54E+15,,stapler,,stapler_stapling.wav,4.75E+15,everyday,,,
5.38E+15,stapler - 5383282749341696.wav,sound recording,FALSE,TRUE,TRUE,5.54E+15,,stapler,,stapler_stapling.wav,4.75E+15,everyday,,,
6.66E+15,stapler - 6662654722572288.wav,sound recording,FALSE,TRUE,TRUE,5.54E+15,,stapler,,stapler_stapling.wav,4.75E+15,everyday,,,
5.67E+15,stapler - 5674533071618048.wav,sound recording,FALSE,TRUE,TRUE,5.54E+15,,stapler,,stapler_stapling.wav,4.75E+15,everyday,,,
5.86E+15,stapler - 5860628098973696.wav,sound recording,FALSE,FALSE,TRUE,5.54E+15,Completely satisfied,stapler,,stapler_stapling.wav,4.75E+15,everyday,Door opening,Confident,FALSE
6.24E+15,door closing - 6240873901719552.wav,sound recording,FALSE,TRUE,TRUE,5.21E+15,,door closing,,door_closing.wav,6.42E+15,everyday,,,
6.29E+15,door closing - 6294741381545984.wav,sound recording,FALSE,TRUE,TRUE,5.21E+15,,door closing,,door_closing.wav,6.42E+15,everyday,,,
5.1E+15,door closing - 5097132700729344.wav,sound recording,FALSE,TRUE,TRUE,5.21E+15,,door closing,,door_closing.wav,6.42E+15,everyday,,,
5.13E+15,door closing - 5134473146400768.wav,sound recording,FALSE,TRUE,TRUE,5.21E+15,,door closing,,door_closing.wav,6.42E+15,everyday,,,
5.17E+15,door closing - 5172603866054656.wav,sound recording,FALSE,TRUE,TRUE,5.21E+15,,door closing,,door_closing.wav,6.42E+15,everyday,,,
6.25E+15,duck - 6250984254734336.wav,sound recording,FALSE,TRUE,FALSE,5.21E+15,,duck,,duck_quacking.wav,4.55E+15,everyday,,,
5.1E+15,frog - 5101298819006464.wav,sound recording,FALSE,TRUE,FALSE,5.21E+15,,frog,,frog_croaking.wav,5.4E+15,everyday,,,
4.89E+15,cow - 4887366497992704.wav,sound recording,FALSE,FALSE,TRUE,5.21E+15,Mostly satisfied,cow,,cow_mooing.wav,6.28E+15,everyday,A cow mooing ,Very confident,TRUE
6.01E+15,frog - 6013266404835328.wav,sound recording,TRUE,FALSE,FALSE,5.21E+15,Somewhat satisfied,frog,,frog_croaking.wav,5.4E+15,everyday,A frog ribbiting. ,Very confident,
5.07E+15,crow - 5074214755237888.wav,sound recording,TRUE,FALSE,FALSE,5.21E+15,Somewhat satisfied,crow,,crow_cawing.wav,6E+15,everyday,Crow cawing ,Very confident,
6.31E+15,duck - 6307531794153472.wav,sound recording,TRUE,FALSE,FALSE,5.21E+15,Somewhat satisfied,duck,,duck_quacking.wav,4.55E+15,everyday,Duck quacking ,Confident,
5.45E+15,blinds - 5450316451414016.wav,sound recording,TRUE,FALSE,FALSE,5.21E+15,Somewhat satisfied,blinds,,blinds_opening.wav,5.08E+15,everyday,Rope sliding ,Not at all confident,
5.63E+15,blinds - 5631383682678784.wav,sound recording,FALSE,TRUE,FALSE,5.21E+15,,blinds,,blinds_opening.wav,5.08E+15,everyday,,,
5.45E+15,subsynth 1768 - 5454757850251264.wav,sound recording,FALSE,TRUE,FALSE,5.2E+15,,subsynth 1768,,subsynth_1768.wav,5.46E+15,single synthesizer,,,
6.58E+15,subsynth 2176 - 6580657757093888.wav,sound recording,TRUE,FALSE,FALSE,5.2E+15,Completely satisfied,subsynth 2176,,subsynth_2176.wav,5.93E+15,single synthesizer,error code,Not so confident,
6.55E+15,subsynth 2043 - 6548127674793984.wav,sound recording,FALSE,FALSE,TRUE,5.2E+15,Mostly satisfied,subsynth 2043,,subsynth_2043.wav,4.52E+15,single synthesizer,storm voice,Confident,
5.97E+15,subsynth 2917 - 5966662117359616.wav,sound recording,TRUE,FALSE,FALSE,5.2E+15,Mostly satisfied,subsynth 2917,,subsynth_2917.wav,4.59E+15,single synthesizer,storm voice,Confident,
5.48E+15,orbit station - 5480798236966912.wav,sound recording,TRUE,FALSE,FALSE,5.2E+15,Mostly satisfied,orbit station,,orbit_station.wav,4.58E+15,commercial synthesizers,system opening,Neutral,
6.32E+15,subsynth 1768 - 6315847253491712.wav,sound recording,FALSE,TRUE,FALSE,5.2E+15,,subsynth 1768,,subsynth_1768.wav,5.46E+15,single synthesizer,,,
6.6E+15,subsynth 1768 - 6601836240830464.wav,sound recording,FALSE,TRUE,FALSE,5.2E+15,,subsynth 1768,,subsynth_1768.wav,5.46E+15,single synthesizer,,,
4.81E+15,subsynth 1768 - 4810031719514112.wav,sound recording,FALSE,TRUE,FALSE,5.2E+15,,subsynth 1768,,subsynth_1768.wav,5.46E+15,single synthesizer,,,
4.78E+15,subsynth 1768 - 4784167426457600.wav,sound recording,TRUE,FALSE,FALSE,5.2E+15,Completely satisfied,subsynth 1768,,subsynth_1768.wav,5.46E+15,single synthesizer,error code,Confident,
5.11E+15,chinese cymbal (hit with a stick) - 5112317826039808.wav,sound recording,TRUE,FALSE,FALSE,5.03E+15,Somewhat dissatisfied,chinese cymbal (hit with a stick),,chinese_cymbal_hit_with_a_stick.wav,4.51E+15,acoustic instruments,Gong sound,Very confident,
5.36E+15,violin (bowed) - 5361079110598656.wav,sound recording,TRUE,FALSE,FALSE,5.03E+15,Mostly satisfied,violin (bowed),,violin_bowed.wav,4.78E+15,acoustic instruments,mouth instrument,Neutral,
5.17E+15,xylophone - 5167877522980864.wav,sound recording,TRUE,FALSE,FALSE,5.03E+15,Somewhat satisfied,xylophone,,xylophone.wav,5.28E+15,acoustic instruments,stick hit on metal,Confident,
5.07E+15,oboe - 5074539293704192.wav,sound recording,TRUE,FALSE,FALSE,5.03E+15,Mostly satisfied,oboe,,oboe.wav,6.4E+15,acoustic instruments,horn,Confident,
5.92E+15,violin (plucked) - 5924029064019968.wav,sound recording,FALSE,FALSE,TRUE,5.03E+15,Somewhat satisfied,violin (plucked),,violin_plucked.wav,6.54E+15,acoustic instruments,tik sound,Confident,
5.94E+15,piano - 5942087790886912.wav,sound recording,FALSE,TRUE,FALSE,6.61E+15,,piano,,piano.wav,5.42E+15,acoustic instruments,,,
6.56E+15,piano - 6561920291176448.wav,sound recording,FALSE,TRUE,FALSE,6.61E+15,,piano,,piano.wav,5.42E+15,acoustic instruments,,,
5.39E+15,tambourine (shake roll) - 5390356292042752.wav,sound recording,FALSE,TRUE,FALSE,6.61E+15,,tambourine (shake roll),,tambourine_shake_roll.wav,5.56E+15,acoustic instruments,,,
5.34E+15,crash cymbal (choked) - 5342536126169088.wav,sound recording,TRUE,FALSE,FALSE,6.61E+15,Mostly satisfied,crash cymbal (choked),,crash_cymbal_choked.wav,4.79E+15,acoustic instruments,Cymbal,Very confident,
5.44E+15,tambourine (shake roll) - 5436020384333824.wav,sound recording,TRUE,FALSE,FALSE,6.61E+15,Mostly satisfied,tambourine (shake roll),,tambourine_shake_roll.wav,5.56E+15,acoustic instruments,Tambourine,Very confident,
5.95E+15,trumpet - 5953306245464064.wav,sound recording,FALSE,TRUE,TRUE,6.61E+15,,trumpet,,trumpet.wav,5.21E+15,acoustic instruments,,,
5.4E+15,tambourine (shake roll) - 5401652056031232.wav,sound recording,FALSE,TRUE,FALSE,6.61E+15,,tambourine (shake roll),,tambourine_shake_roll.wav,5.56E+15,acoustic instruments,,,
5.45E+15,cello (bowed) - 5452580167614464.wav,sound recording,FALSE,TRUE,FALSE,6.61E+15,,cello (bowed),,cello_bowed.wav,5.63E+15,acoustic instruments,,,
4.7E+15,cello (bowed) - 4704982590816256.wav,sound recording,TRUE,FALSE,FALSE,6.61E+15,Mostly satisfied,cello (bowed),,cello_bowed.wav,5.63E+15,acoustic instruments,Cello,Very confident,
5.86E+15,piano - 5856736590168064.wav,sound recording,TRUE,FALSE,FALSE,6.61E+15,Mostly satisfied,piano,,piano.wav,5.42E+15,acoustic instruments,Piano,Very confident,
5.91E+15,trumpet - 5905486079590400.wav,sound recording,FALSE,FALSE,TRUE,6.61E+15,Mostly satisfied,trumpet,,trumpet.wav,5.21E+15,acoustic instruments,Trumpet,Very confident,
5.07E+15,toilet flushing - 5071522616049664.wav,sound recording,FALSE,TRUE,FALSE,5.64E+15,,toilet flushing,,toilet_flushing.wav,5.03E+15,everyday,,,
4.91E+15,toilet flushing - 4913369035309056.wav,sound recording,FALSE,TRUE,FALSE,5.64E+15,,toilet flushing,,toilet_flushing.wav,5.03E+15,everyday,,,
5.2E+15,blowing nose - 5203137593868288.wav,sound recording,FALSE,TRUE,TRUE,5.64E+15,,blowing nose,,nose_blowing.wav,5.33E+15,everyday,,,
5.7E+15,pig - 5698390272770048.wav,sound recording,FALSE,TRUE,FALSE,5.64E+15,,pig,,pig_oinking.wav,5.8E+15,everyday,,,
4.74E+15,toilet flushing - 4743442949210112.wav,sound recording,FALSE,FALSE,FALSE,5.64E+15,Mostly satisfied,toilet flushing,,toilet_flushing.wav,5.03E+15,everyday,Random Tongue clicking,Confident,
5.71E+15,blowing nose - 5709436928655360.wav,sound recording,FALSE,FALSE,TRUE,5.64E+15,Mostly satisfied,blowing nose,,nose_blowing.wav,5.33E+15,everyday,Random whistling,Very confident,
5.09E+15,can crush - 5087715448061952.wav,sound recording,FALSE,FALSE,FALSE,5.64E+15,Mostly satisfied,can crush,,can_crushing.wav,6.49E+15,everyday,Sneezing,Very confident,
5.18E+15,whip - 5180623375302656.wav,sound recording,FALSE,TRUE,FALSE,5.64E+15,,whip,,whip_cracking.wav,5.76E+15,everyday,,,
6.29E+15,whip - 6290339845373952.wav,sound recording,FALSE,TRUE,FALSE,5.64E+15,,whip,,whip_cracking.wav,5.76E+15,everyday,,,
5.66E+15,pig - 5662329727352832.wav,sound recording,FALSE,TRUE,FALSE,5.64E+15,,pig,,pig_oinking.wav,5.8E+15,everyday,,,
5.76E+15,whip - 5759826290278400.wav,sound recording,FALSE,FALSE,FALSE,5.64E+15,Mostly satisfied,whip,,whip_cracking.wav,5.76E+15,everyday,Bike vroom ,Neutral,
5.12E+15,pig - 5118827385847808.wav,sound recording,TRUE,FALSE,FALSE,5.64E+15,Mostly satisfied,pig,,pig_oinking.wav,5.8E+15,everyday,clearing Thorat,Confident,
5.68E+15,whip - 5683582030839808.wav,sound recording,FALSE,TRUE,FALSE,5.64E+15,,whip,,whip_cracking.wav,5.76E+15,everyday,,,
5.64E+15,banjo - 5636904326266880.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,banjo,,banjo_playing.wav,5.62E+15,everyday,,,
5.69E+15,snoring - 5688160465977344.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,snoring,,person_snoring.wav,5.94E+15,everyday,,,
6.27E+15,snoring - 6267421899882496.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,snoring,,person_snoring.wav,5.94E+15,everyday,,,
5.21E+15,snoring - 5205208573411328.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,snoring,,person_snoring.wav,5.94E+15,everyday,,,
5.7E+15,snoring - 5702351037923328.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,snoring,,person_snoring.wav,5.94E+15,everyday,,,
5.14E+15,snoring - 5135440319348736.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,snoring,,person_snoring.wav,5.94E+15,everyday,,,
5.75E+15,rattlesnake - 5754818358411264.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,rattlesnake,,rattlesnake_rattling.wav,6.65E+15,everyday,,,
4.89E+15,rattlesnake - 4887827670106112.wav,sound recording,TRUE,FALSE,FALSE,6.34E+15,Neither satisfied or dissatisfied,rattlesnake,,rattlesnake_rattling.wav,6.65E+15,everyday,rattle snake,Confident,
6.01E+15,laughing - 6013727576948736.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,laughing,,man_laughing.wav,5.47E+15,everyday,,,
6.21E+15,snoring - 6213615354904576.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,snoring,,person_snoring.wav,5.94E+15,everyday,,,
5.65E+15,snoring - 5654831519760384.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,snoring,,person_snoring.wav,5.94E+15,everyday,,,
5.77E+15,banjo - 5768158526832640.wav,sound recording,TRUE,FALSE,FALSE,6.34E+15,Somewhat satisfied,banjo,,banjo_playing.wav,5.62E+15,everyday,banjo strumming,Very confident,
5.68E+15,laughing - 5678385120411648.wav,sound recording,TRUE,FALSE,FALSE,6.34E+15,Somewhat satisfied,laughing,,man_laughing.wav,5.47E+15,everyday,someone laughing,Very confident,
6.28E+15,laughing - 6276940352716800.wav,sound recording,FALSE,TRUE,FALSE,6.34E+15,,laughing,,man_laughing.wav,5.47E+15,everyday,,,
5.17E+15,snoring - 5169302646816768.wav,sound recording,TRUE,FALSE,FALSE,6.34E+15,Neither satisfied or dissatisfied,snoring,,person_snoring.wav,5.94E+15,everyday,snoring,Very confident,
5.71E+15,anti matter clouds - 5707451445805056.wav,sound recording,TRUE,FALSE,FALSE,5.69E+15,Somewhat satisfied,anti matter clouds,,anti_matter_clouds.wav,4.54E+15,commercial synthesizers,airplane engine,Not so confident,
5.63E+15,resonant clouds - 5630897948721152.wav,sound recording,TRUE,FALSE,FALSE,5.69E+15,Somewhat satisfied,resonant clouds,,resonant_clouds.wav,5.14E+15,commercial synthesizers,ship foghorn in the bay,Not so confident,
4.8E+15,subsynth 3997 - 4802167097524224.wav,sound recording,TRUE,FALSE,FALSE,5.69E+15,Somewhat satisfied,subsynth 3997,,subsynth_3997.wav,4.87E+15,single synthesizer,tinkerbell,Not so confident,
5.67E+15,subsynth 1828 - 5667113112961024.wav,sound recording,TRUE,FALSE,FALSE,5.69E+15,Somewhat satisfied,subsynth 1828,,subsynth_1828.wav,6.58E+15,single synthesizer,wobbly tone,Not so confident,
5.97E+15,xylophone - 5971619986014208.wav,sound recording,FALSE,TRUE,FALSE,4.83E+15,,xylophone,,xylophone.wav,5.28E+15,acoustic instruments,,,
6.48E+15,violin (plucked) - 6477919320801280.wav,sound recording,FALSE,TRUE,FALSE,4.83E+15,,violin (plucked),,violin_plucked.wav,6.54E+15,acoustic instruments,,,
4.89E+15,crash cymbal (hit with a stick) - 4893239597334528.wav,sound recording,FALSE,FALSE,TRUE,4.83E+15,Completely satisfied,crash cymbal (hit with a stick),,crash_cymbal_hit_with_a_stick.wav,5.91E+15,acoustic instruments,a large bell ringing once.,Very confident,
6.25E+15,viola (bowed) - 6246076986163200.wav,sound recording,TRUE,FALSE,FALSE,4.83E+15,Completely satisfied,viola (bowed),,viola_bowed.wav,5.49E+15,acoustic instruments,a loud cello being played ,Very confident,
5.8E+15,flute - 5796796026585088.wav,sound recording,TRUE,FALSE,FALSE,4.83E+15,Completely satisfied,flute,,flute.wav,4.65E+15,acoustic instruments,flute note being played,Very confident,
5.64E+15,violin (plucked) - 5638059940904960.wav,sound recording,TRUE,FALSE,FALSE,4.83E+15,Completely satisfied,violin (plucked),,violin_plucked.wav,6.54E+15,acoustic instruments,violin string being plucked.,Very confident,
5.23E+15,xylophone - 5233846073163776.wav,sound recording,TRUE,FALSE,FALSE,4.83E+15,Completely satisfied,xylophone,,xylophone.wav,5.28E+15,acoustic instruments,xylophone key being struck,Very confident,
5.76E+15,cork popping - 5764017373052928.wav,sound recording,FALSE,TRUE,TRUE,5.15E+15,,cork popping,,cork_popping.wav,5.15E+15,everyday,,,
5.1E+15,cork popping - 5099379773931520.wav,sound recording,FALSE,TRUE,TRUE,5.15E+15,,cork popping,,cork_popping.wav,5.15E+15,everyday,,,
5.63E+15,cork popping - 5632763172487168.wav,sound recording,FALSE,TRUE,TRUE,5.15E+15,,cork popping,,cork_popping.wav,5.15E+15,everyday,,,
5.75E+15,cork popping - 5747610597982208.wav,sound recording,FALSE,TRUE,TRUE,5.15E+15,,cork popping,,cork_popping.wav,5.15E+15,everyday,,,
5.16E+15,cork popping - 5164439938531328.wav,sound recording,FALSE,TRUE,TRUE,5.15E+15,,cork popping,,cork_popping.wav,5.15E+15,everyday,,,
5.73E+15,cork popping - 5727389891952640.wav,sound recording,FALSE,TRUE,TRUE,5.15E+15,,cork popping,,cork_popping.wav,5.15E+15,everyday,,,
5.67E+15,helicopter - 5673497447628800.wav,sound recording,FALSE,TRUE,FALSE,5.15E+15,,helicopter,,helicopter_flying.wav,5.54E+15,everyday,,,
5.66E+15,helicopter - 5659822271758336.wav,sound recording,FALSE,TRUE,FALSE,5.15E+15,,helicopter,,helicopter_flying.wav,5.54E+15,everyday,,,
5.15E+15,helicopter - 5151040445874176.wav,sound recording,TRUE,FALSE,FALSE,5.15E+15,Mostly satisfied,helicopter,,helicopter_flying.wav,5.54E+15,everyday,helicopter take up sound,Very confident,
